modeoflearning,edlevel,yearscode,yearscodepro,devtype,languagehaveworkedwith,databasehaveworkedwith,platformhaveworkedwith,webframehaveworkedwith,newcollabtoolshaveworkedwith,opsyspersonal_use,opsysprofessionaluse,workexpyears,industry
Unknown,Some collegeuniversity study without earning a degree,10,5,Developer backend,JavaScalaSQL,H2MongoDBMySQLPostgreSQL,Amazon Web Services AWSHerokuVMware,ReactVuejs,DataGripIntelliJ IDEANotepadSublime TextVim,Ubuntu,Ubuntu,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,7,-1,Developer backend,CDartGoHTMLCSSJavaScriptKotlinPHPPythonRuby,MongoDBPostgreSQLSQLiteSupabase,Amazon Web Services AWSFirebaseGoogle CloudMicrosoft AzureNetlifyPythonAnywhereRenderSupabaseVercel,AngularDjangoFastAPIFlaskGatsbyjQueryNestJSNextjsNodejsNuxtjsReactRuby on RailsVuejs,Android StudioFleetJupyter NotebookJupyterLabNotepadPyCharmVisual Studio Code,AndroidWindows,Windows,-1,Unknown
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,30,23,Developer backend,CHTMLCSSSQLTypeScript,Microsoft SQL ServerMySQL,Microsoft Azure,AngularASPNET COREBlazorWordPress,RiderVisual StudioVisual Studio Code,iOSiPadOSMacOSUbuntu,WindowsWindows Subsystem for Linux WSL,23,Other
Inperson,Masters degree MA MS MEng MBA etc,7,3,Developer fullstack,BashShell all shellsJavaScriptKotlinPythonTypeScript,InfluxDBSQLite,Unknown,ExpressNestJSNodejsReact,Android StudioNanoNotepadVisual Studio Code,DebianUbuntuWindowsWindows Subsystem for Linux WSL,UbuntuWindows,-1,Unknown
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,11,6,Developer backend,HTMLCSSJavaScriptPython,Cloud FirestoreElasticsearchFirebase Realtime DatabaseMongoDBPostgreSQLRedisSQLite,Amazon Web Services AWSDigital OceanFirebaseRenderVercel,DjangoFastAPIFlaskHtmxNextjsNodejsReact,Visual Studio Code,iOSMacOS,iOSMacOSUbuntu,6,Software Development
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,23,-1,Engineering manager,Java,PostgreSQL,Amazon Web Services AWS,Angular,EclipseNotepadPyCharmVisual Studio,Red HatWindows,Red HatWindows,18,Software Development
Remote,Some collegeuniversity study without earning a degree,10,6,Developer fullstack,BashShell all shellsHTMLCSSJavaScriptPHPPythonSQLTypeScript,MariaDBMongoDBMySQLPostgreSQLRedisSQLite,Amazon Web Services AWS,NestJSNextjsNodejsReactWordPress,NeovimVisual Studio Code,FedoraWindows Subsystem for Linux WSL,Windows Subsystem for Linux WSL,7,Fintech
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,10,10,Developer frontend,HTMLCSSJavaScriptPHPTypeScript,Unknown,Firebase,AngularAngularJSDrupaljQueryNodejsReactWordPress,IntelliJ IDEANotepadPhpStormVimVisual Studio CodeWebStorm,iOSMacOSUbuntuWindowsWindows Subsystem for Linux WSL,iOSMacOSWindows,-1,Unknown
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,11,6,Developer fullstack,BashShell all shellsJavaJavaScriptPythonSQLTypeScript,MongoDBMySQLPostgreSQLSQLite,Amazon Web Services AWSCloudflareDigital OceanMicrosoft AzureVercel,AstroExpressFlaskNextjsNodejsNuxtjsReactRemixSpring BootSvelte,IntelliJ IDEANotepadVisual Studio CodeVSCodium,MacOSWindows,Windows,6,Internet Telecomm or Information Services
Remote,Bachelors degree BA BS BEng etc,6,4,Developer AI,CDartFGoHTMLCSSJavaJavaScriptKotlinPHPPythonSQLSwiftTypeScriptVBAVisual Basic Net,Cloud FirestoreDynamodbFirebase Realtime DatabaseMicrosoft SQL ServerMongoDBMySQLSQLite,Amazon Web Services AWSCloudflareFirebase,AngularAngularJSASPNETASPNET COREFastAPIjQueryLaravelNodejsWordPress,Android StudioEclipseIntelliJ IDEANetbeansNotepadPyCharmVisual StudioVisual Studio CodeXcode,AndroidiOSMacOSWindows,AndroidiOSMacOSWindows,5,Software Development
